annee_numero_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;rapport_du_rang1_Euro_Millions;rapport_du_rang2_Euro_Millions;rapport_du_rang3_Euro_Millions;rapport_du_rang4_Euro_Millions;rapport_du_rang5_Euro_Millions;rapport_du_rang6_Euro_Millions;rapport_du_rang7_Euro_Millions;rapport_du_rang8_Euro_Millions;rapport_du_rang9_Euro_Millions;rapport_du_rang10_Euro_Millions;rapport_du_rang11_Euro_Millions;rapport_du_rang12_Euro_Millions;rapport_du_rang13_Euro_Millions
2016078;27/09/2016;41;6;13;39;9;2;12;21500000;293260.3;29272.9;4772.7;199.4;170.1;54.4;28.4;16.2;10.8;15.5;8.9;3.9
2016079;30/09/2016;35;44;17;37;43;10;2;20000000;404891.9;37721.5;3294.7;194.7;117.9;67.6;21;15.9;12.7;11.3;8.8;4.6
2016080;04/10/2016;4;38;7;14;34;4;11;18500000;225641.2;33443.7;3213.2;142.7;107.8;54.4;20.4;12.5;11;11.4;7.7;4.1
2016081;07/10/2016;12;30;27;20;2;11;9;17000000;195998;26429;3364.6;134;110.5;39;21.9;13;9.8;12;7.8;3.9
2016082;11/10/2016;12;37;20;24;5;4;11;168085323;183627.4;35640.7;3122.3;143.2;110.3;46;21.2;13.5;10.3;11.6;8;4
2016083;14/10/2016;31;34;19;7;13;11;1;153085323;258506.3;21503.2;2454.1;130.9;103.6;34.4;20.8;13;8.7;11.9;8;3.6
2016084;18/10/2016;2;25;17;21;27;9;6;138085323;333747.9;177605;1893.5;124.4;76.8;44.8;14.8;11.9;10.3;8.4;6.9;4
2016085;21/10/2016;48;9;23;20;44;10;8;123085323;408989.5;28577.5;3882.8;176.2;130.8;65.3;21.7;15.9;12.7;11.9;8.4;4.3
2016086;25/10/2016;28;15;21;3;20;5;1;50108729;156002.2;24223.1;2132.6;117.7;75.3;47.2;15.6;11;10.5;9.3;6.7;4.1
2016087;28/10/2016;23;43;10;19;16;8;2;17375733;317750.6;46254.8;1616;144.9;64.3;53.7;12.6;12.4;11;7.2;7.1;4.1
2016088;01/11/2016;10;20;6;37;29;9;1;2375733;245644.5;19071.1;2209.3;144.2;85.3;48.3;16.6;13.3;11.1;9.4;7.7;4.2
2016089;04/11/2016;7;11;12;48;44;7;3;17000000;299189.9;39819.8;2034.9;161.2;54.8;72.5;8.8;12.3;12.9;5;6.5;4.4
2016090;08/11/2016;49;47;9;50;5;9;8;39336342;845567.8;65647.4;4013.7;177.7;97.5;68;20;14.4;13.5;11;7.7;4.7
